Player,Position,team,Birthday,Age,Height,Wingspan,Weight (lbs),Hand Width,Reach,Standing Vert (in),Max Vert (in),Lane (sec),Shuttle (sec),3/4 Sprint (sec),Ovr. Rank,Avg. Rank,ESPN,The Athletic,CBS Sports,Tankathon,The Ringer,No Ceilings,Bleacher Report,GP,GS,mp,MIN_per,pts,oreb,dreb,treb,ast,stl,blk,TOV,pfr,FGM,FGA,FG%,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,FTM,FTA,FT_per,TS_Per,PTS/36,OREB/36,DREB/36,TREB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,FGA/36,2PA/36,3PA/36,FTA/36,Info,eFG,ast/tov
"Almansa, Izan",C,G-League Ignite,6/7/2005,19,"6'10.5""","7'1""",220,"9.25""","9'2""",28,35,10.94,2.96,3.11,49,52,48,52,46,47,51,50,70,48,46,27.3,0.7,10.5,2.7,4.4,7.1,1.4,0.8,0.7,0.9,1.7,4.2,7.6,0.549,4,6.9,0.585,0.2,0.7,0.206,1.1,2.1,0.545,0.673,13.9,3.5,5.9,9.3,1.8,1,0.9,1.2,2.2,5.5,9.1,0.9,2.7,https://basketball.realgm.com/player/Izan-Almansa/Summary/136317,56.003,1.52173913
"Bridges, Jalen",SF,Baylor,5/14/2001,23.06,"6'8""","6'10""",213,"10""","8'9""",25,32,11.14,3,3.16,50,52.29,56,59,65,57,43,51,35,35,35,31.7,0.8,12.2,1.9,3.7,5.7,1.4,1.1,0.6,1,1.5,4.1,8.8,0.466,2,3.8,0.538,2.1,5.1,0.412,1.9,2.3,0.823,0.666,13.9,2.2,4.2,6.5,1.6,1.2,0.7,1.1,1.7,4.7,4.3,5.8,2.6,https://www.sports-reference.com/cbb/players/jalen-bridges-1.html,58.523,1.4
"Bona, Adem",C,UCLA,3/28/2003,21.19,"6'9.5""","7'3.75""",243,"10""","9'0""",35,40,11.01,3.01,3.15,51,52.29,40,57,39,54,62,44,70,33,33,26.5,0.7,12.4,2,3.9,5.9,1.2,1.1,1.8,2.5,3.6,4.6,7.9,0.588,4.6,7.8,0.591,0,0,0,3.1,4.5,0.696,0.756,16.8,2.7,5.3,8,1.6,1.5,2.4,3.4,4.9,6.2,10.6,0,6.1,https://www.sports-reference.com/cbb/players/adem-bona-1.html,58.228,0.48
"Ajinca, Melvin",SG,France,6/26/2004,19.94,6'7',,200,,,,,,,,52,54,49,44,47,46,41,81,70,28,,24.6,0.6,9.3,1,2.3,3.3,0.8,0.5,0,0.6,2.2,3,8,0.375,1.4,2.7,0.507,1.6,5.3,0.309,1.7,2.1,0.797,0.557,13.6,1.5,3.4,4.8,1.2,0.7,0,0.9,3.2,4.4,4,7.8,3.1,https://www.basketball-reference.com/international/players/melvin-ajinca-1.html,47.5,1.333333333
"Larsson, Pelle",SG,Arizona,2/23/2001,23.29,"6'6.5""","6'7.5""",212,"10.25""","8'6""",30.5,38,11.15,2.91,3.06,53,55.71,45,64,55,53,50,81,42,36,36,30.1,0.8,12.8,1.1,3,4.1,3.7,0.9,0.2,1.9,2.6,4.5,8.7,0.519,3.3,5.7,0.568,1.3,3,0.426,2.4,3.2,0.75,0.709,15.3,1.3,3.6,4.9,4.4,1.1,0.2,2.3,3.1,5.4,6.8,3.6,3.8,https://www.sports-reference.com/cbb/players/pelle-larsson-1.html,59.195,1.947368421
"Nunez, Juan",PG,Spain,6/4/2004,20.01,"6'4""",,194,,,,,,,,54,57.29,37,62,60,39,90,43,70,14,,25.9,0.6,10.4,1,2.8,3.8,5.8,1.9,0.1,2.9,2.1,3.9,7.8,0.505,3,5.2,0.575,0.9,2.6,0.361,1.6,2.9,0.537,0.647,14.5,1.4,3.9,5.3,8.1,2.6,0.1,4,2.9,5.4,7.2,3.6,4,https://www.basketball-reference.com/international/players/juan-nunez-1.html,55.769,2
"Alexander, Trey",SG,Creighton,5/2/2003,21.09,"6'4.5""","6'10.5""",187,"10""","8'5.5""",26.5,32,11.37,2.92,3.21,55,59.14,70,37,58,50,90,39,70,35,35,37.3,0.9,17.6,0.5,5.2,5.7,4.7,1.1,0.4,2.5,1.7,6.6,14.9,0.446,4.9,9.6,0.504,1.8,5.2,0.339,2.5,3.1,0.824,0.577,17,0.5,5,5.5,4.5,1.1,0.4,2.4,1.6,6.4,9.3,5,3,https://www.sports-reference.com/cbb/players/trey-alexander-1.html,50.336,1.88
"Chomche, Ulrich",C,NBA Academy Africa,12/30/2005,18.43,"6'11.5""","7'4""",232,"10.25""","9'1""",29,35.5,11.74,2.84,3.1,56,59.71,41,88,66,48,24,81,70,3,3,30.1,0.8,13,1.3,7.7,9,3.3,1.3,2.7,5,1,4.7,11,0.424,2,4,0.5,2.7,7,0.381,1,1.3,0.75,0.574,15.5,1.6,9.2,10.8,4,1.6,3.2,6,1.2,5.6,4.8,8.4,1.6,https://basketball.realgm.com/player/Ulrich-Chomche/Summary/155584,54.591,0.666
"Spencer, Cam",SG,UConn,4/6/2000,24.17,"6'4.25""","6'5""",202,"9.75""","8'2.5""",23,30.5,11.07,3,3.35,57,59.71,62,43,53,61,48,81,70,40,40,33,0.8,14.3,1.1,3.8,4.9,3.6,1.5,0.3,1,2.2,4.9,10.1,0.484,2.4,4.5,0.539,2.5,5.6,0.44,2.1,2.3,0.911,0.681,15.6,1.2,4.1,5.3,3.9,1.6,0.3,1.1,2.4,5.3,4.9,6.1,2.5,https://www.sports-reference.com/cbb/players/cam-spencer-1.html,60.891,3.6
"Johnson, Keshad",PF,Arizona,6/23/2001,22.95,"6'7.5""","6'10.25""",224,"10.75""","8'7""",31.5,42,11.38,3.02,3.03,58,61.29,50,66,57,56,49,81,70,36,36,27.6,0.7,11.5,2,3.9,5.9,1.8,1,0.7,1.6,2.1,4.2,7.9,0.53,3.2,5.3,0.599,1,2.6,0.387,2.1,3,0.71,0.7,15,2.6,5.1,7.7,2.3,1.3,0.9,2.1,2.7,5.5,6.9,3.4,3.9,https://www.sports-reference.com/cbb/players/keshad-johnson-1.html,59.494,1.125
"Flowers, Trentyn",SF,Australia,3/8/2005,19.24,"6'7.75""","6'8.25""",201,"9.5""","8'4.5""",34.5,42,11.01,3,3.13,59,61.57,64,93,59,65,25,55,70,18,5,12.7,0.3,5,0.6,2.3,2.9,0.4,0.3,0.1,1,1.3,1.8,4,0.444,1.4,2.9,0.473,0.4,1.1,0.368,1.1,1.7,0.613,0.586,14.2,1.6,6.6,8.2,1.2,0.8,0.3,2.8,3.8,5,8.3,3,4.9,https://basketball.realgm.com/player/Trentyn-Flowers/Summary/191124,49.375,0.44
"Newton, Tristen",PG,UConn,4/26/2001,23.11,"6'4.5""","6'6.75""",192,"9""","8'4""",25,32.5,10.96,2.84,3.24,60,61.71,78,50,37,59,57,81,70,40,40,33.2,0.8,15.1,1.4,5.2,6.6,6.2,0.9,0.3,2.5,1.8,4.6,11,0.415,2.8,5.5,0.509,1.8,5.5,0.321,4.2,5.2,0.808,0.665,16.4,1.5,5.6,7.2,6.7,1,0.3,2.7,2,5,6,6,5.6,https://www.sports-reference.com/cbb/players/tristen-newton-1.html,50,2.48
"Sears, Mark",PG,Alabama,2/19/2002,22.3,"5'11.5""","6'2""",192,"8.5""","7'8""",32,39,11.96,3.26,3.33,61,62.57,80,48,67,94,33,46,70,37,37,33.6,0.8,21.5,0.9,3.3,4.2,4,1.6,0.1,2.4,2,6.8,13.4,0.508,4.2,7.5,0.565,2.6,5.9,0.436,5.4,6.2,0.857,0.78,23,1,3.5,4.5,4.3,1.7,0.1,2.6,2.1,7.3,8,6.3,6.6,https://www.sports-reference.com/cbb/players/mark-sears-1.html,60.448,1.666666667
"Mogbo, Jonathan",PF,San Francisco,10/29/2001,22.6,"6'7.5""","7'2""",217,"8.75""","9'0.5""",31.5,37.5,11.14,3.07,3.02,62,63.71,42,83,63,49,90,49,70,34,34,28.9,0.7,14.2,3.3,6.8,10.1,3.6,1.6,0.8,1.8,2.6,6.1,9.5,0.636,6.1,9.5,0.64,0,0.1,0,2.1,3.1,0.692,0.724,17.7,4.1,8.5,12.6,4.5,2,1,2.2,3.2,7.6,11.8,0.1,3.9,https://www.sports-reference.com/cbb/players/jonathan-mogbo-1.html,64.211,2
"Reeves, Antonio",SG,Kentucky,11/20/2000,23.54,"6'5.75""","6'8.25""",187,"10""","8'4.5""",29,36,11.44,3.16,3.14,63,66.71,63,54,72,60,90,58,70,33,33,31.4,0.8,20.2,0.7,3.4,4.2,1.6,0.7,0.2,1.2,1.8,7.1,13.9,0.512,4.6,8.2,0.557,2.5,5.7,0.447,3.4,4,0.863,0.707,23.2,0.8,3.9,4.8,1.8,0.8,0.2,1.4,2.1,8.1,9.4,6.5,4.6,https://www.sports-reference.com/cbb/players/antonio-reeves-1.html,60.072,1.333333333
"Watkins, Jamir",SF,Florida State,7/6/2001,22.92,"6'6.25""",6'10.75,212,"9.5""","8'8""",30.5,35.5,10.64,3.16,3.01,64,67.29,74,72,94,94,55,45,37,33,33,28.1,0.7,15.6,1.5,4.5,6,2.8,1.9,0.8,2.5,2.8,4.8,10.5,0.457,3.8,7.6,0.5,1,2.9,0.344,4.9,6.2,0.795,0.719,20,1.9,5.8,7.7,3.6,2.4,1,3.2,3.6,6.1,9.7,3.7,7.9,https://www.sports-reference.com/cbb/players/jamir-watkins-1.html,50.476,1.12
"Hukporti, Ariel",C,Australia,4/12/2002,22.15,"7'0""","7'2.5""",246,"10.25""","9'3""",,,,,,65,69.43,58,56,68,63,90,81,70,28,,18.4,0.5,8.4,2.4,4.6,7,0.7,0.6,1.5,1.7,2.9,3.2,5.4,0.596,3.2,5.4,0.596,0,0,0,2,3.2,0.618,0.74,16.4,4.7,9,13.7,1.4,1.2,2.9,3.3,5.7,6.3,10.6,0,6.3,https://www.basketball-reference.com/international/players/ariel-hukporti-1.html,59.259,0.411764706
"Robinson, Jaxson",SG,BYU,12/3/2002,21.51,"6'6""","6'11.25""",189,"9.5""","8'7""",29.5,34,11.39,3.06,3.17,66,71.14,66,79,74,62,90,81,46,33,6,26.4,0.7,14.2,0.4,2.1,2.5,1.3,0.7,0.4,1.5,1.8,5,11.7,0.426,2.5,4.7,0.532,2.5,6.9,0.354,1.8,2,0.908,0.587,19.4,0.5,2.9,3.4,1.8,1,0.5,2,2.5,6.8,6.4,9.4,2.7,https://www.sports-reference.com/cbb/players/jaxson-robinson-1.html,53.419,0.866666667
"Post, Quinten",C,Boston College,3/21/2000,24.21,"7'1.25""","7'2.5""",244,"10""","9'4""",24,27,11.48,3.03,3.4,67,71.43,71,61,71,94,52,81,70,35,35,31.9,0.8,17,2,6.1,8.1,2.9,0.9,1.7,2.5,2.9,6.3,12.3,0.514,4.9,9,0.544,1.4,3.3,0.431,2.9,3.5,0.821,0.671,19.2,2.3,6.9,9.1,3.3,1,1.9,2.8,3.3,7.1,10.2,3.7,3.9,https://www.sports-reference.com/cbb/players/quinten-post-1.html,56.911,1.16
"Brazile, Trevon",PF,Arkansas,1/7/2003,21.41,"6'10.5""","7'3.75""",215,"10.25""","9'0.5""",33,41,11.15,3.01,3.09,68,71.71,67,71,94,66,53,81,70,26,23,25.7,0.6,8.6,1.7,4.2,5.9,0.5,0.7,1.2,1.5,2.3,3,6.2,0.488,2.1,3.6,0.585,0.9,2.6,0.353,1.6,2.3,0.695,0.661,12,2.4,5.9,8.3,0.7,1,1.7,2.1,3.2,4.2,5,3.6,3.2,https://www.sports-reference.com/cbb/players/trevon-brazile-1.html,55.645,0.333333333
"Clifford, Nique",SF,Colorado State,2/9/2002,22.33,"6'6.25""","6'8""",199,"9""","8'6""",30,37,10.95,3.1,3.08,69,72.43,89,68,70,94,90,26,70,36,36,30.3,0.8,12.2,1.1,6.6,7.6,3,1.4,0.9,1.8,2.8,4.6,8.9,0.522,3.5,5.9,0.597,1.1,3,0.376,1.8,2.3,0.759,0.661,14.5,1.3,7.8,9,3.6,1.7,1.1,2.1,3.3,5.5,7,3.6,2.7,https://www.sports-reference.com/cbb/players/nique-clifford-1.html,57.865,1.666666667
"Beekman, Reece",PG,Virginia,10/8/2001,22.66,"6'2.5""","6'6.5""",196,"9""","8'4""",30,36.5,10.86,3.08,2.94,70,72.71,90,85,69,69,67,59,70,34,34,32.8,0.8,14.3,0.4,3.3,3.6,6.2,2,0.5,2.1,1.3,5.3,11.9,0.443,4.4,9,0.487,0.9,2.9,0.31,2.8,3.7,0.754,0.585,15.7,0.4,3.6,4,6.8,2.2,0.5,2.3,1.4,5.8,9.9,3.2,4.1,https://www.sports-reference.com/cbb/players/reece-beekman-1.html,48.319,2.952380952
"Grant-Foster, Tyon",SF,Grand Canyon,3/5/2000,24.25,"6'7""","6'11.75""",215,"9.25""","8'8""",,,,,,71,73.14,83,45,49,94,90,81,70,34,34,33.5,0.8,20.1,1.3,4.8,6.1,1.6,1.7,1.5,2.5,2.3,6.2,14,0.446,4.8,9.5,0.5,1.5,4.4,0.331,6.2,8.3,0.745,0.701,21.6,1.4,5.2,6.6,1.7,1.8,1.6,2.7,2.5,6.7,10.2,4.7,8.9,https://www.sports-reference.com/cbb/players/tyon-grant-foster-1.html,49.643,0.64
"James, Bronny",SG,USC,10/6/2004,19.67,"6'2.75""","6'7.25""",210,"9.5""","8'2.5""",32,40.5,10.96,3.02,3.09,72,74.29,54,118,56,72,69,81,70,25,6,19.3,0.5,4.8,0.3,2.6,2.8,2.1,0.8,0.2,1.1,1.7,1.6,4.5,0.366,1,2.1,0.481,0.6,2.4,0.267,0.9,1.4,0.676,0.5,9,0.6,4.8,5.2,3.9,1.5,0.4,2.1,3.2,3,3.9,4.5,2.6,https://www.sports-reference.com/cbb/players/bronny-james-1.html,42.222,1.909090909
"Hawkins, Coleman",PF,Illinois,10/10/2001,22.66,"6'9.75""","7'0""",215,"8.75""","8'11""",24,29.5,12.05,3.21,3.3,73,74.57,79,87,73,67,65,81,70,35,35,31.6,0.8,12.1,1.4,4.7,6.1,2.7,1.5,1.1,1.6,2.6,4.1,9.1,0.451,2.4,4.5,0.535,1.7,4.6,0.369,2.2,2.7,0.792,0.64,13.8,1.6,5.4,6.9,3.1,1.7,1.3,1.8,3,4.7,5.1,5.2,3.1,https://www.sports-reference.com/cbb/players/coleman-hawkins-1.html,54.396,1.6875
"Mintz, Judah",PG,Syracuse,7/10/2003,20.91,"6'4""",,176,,,,,,,,74,76.71,94,81,94,70,68,81,49,32,31,33.9,0.8,18.8,0.5,2.8,3.2,4.4,2.1,0.1,2.9,2.2,5.9,13.4,0.438,5.1,10.8,0.477,0.8,2.7,0.282,6.3,8.3,0.765,0.684,20,0.5,3,3.4,4.7,2.2,0.1,3.1,2.3,6.3,11.5,2.9,8.8,https://www.sports-reference.com/cbb/players/judah-mintz-1.html,47.015,1.517241379
"Rubstavicius, Mantas",SF,Australia,5/6/2002,22.08,"6'7""",,190,,,,,,,,75,77.43,65,78,94,64,90,81,70,23,,19.8,0.5,9.5,0.7,1.5,2.1,1.1,0.8,0.1,1,2.5,3.2,6,0.525,1.9,3.1,0.611,1.3,2.9,0.433,1.9,2.3,0.811,0.747,17.3,1.3,2.7,3.8,2,1.5,0.2,1.8,4.5,5.8,5.6,5.3,4.2,https://www.basketball-reference.com/international/players/mantas-rubstavicius-1.html,64.167,1.1
"Jones, Isaac",C,Washington State,7/11/2000,23.9,"6'9""","7'3""",235,"10.25""","9'0""",29,35,11.49,3,3.38,76,78,59,118,54,94,90,81,50,35,34,31.7,0.8,15.3,2.3,5.3,7.6,1.5,0.5,1.1,1.9,2,5.7,9.9,0.575,5.7,9.5,0.596,0,0.4,0.071,3.9,5.5,0.712,0.749,17.4,2.6,6,8.6,1.7,0.6,1.2,2.2,2.3,6.5,10.8,0.5,6.2,https://www.sports-reference.com/cbb/players/isaac-jones-3.html,57.576,0.789473684
"Wells, Jaylen",SF,Washington State,8/26/2003,20.78,"6'7.75""","6'7.25""",206,"9.25""","8'7.5""",27.5,36,11.28,3.03,3.08,77,78.29,60,82,94,71,90,81,70,34,20,29.2,0.7,12.6,1.2,3.4,4.6,1.2,0.5,0.2,0.7,1.9,4.1,9.4,0.436,2,4.4,0.457,2.1,4.9,0.417,2.3,2.9,0.814,0.646,15.5,1.5,4.2,5.7,1.5,0.6,0.2,0.9,2.3,5.1,5.4,6,3.6,https://www.sports-reference.com/cbb/players/jaylen-wells-1.html,54.787,1.714285714
"Dante, N'Faly",C,Oregon,10/19/2001,22.63,"6'11.25""","7'6""",260,"10""","9'3""",27,33,11.55,3.04,3.23,78,79.57,91,69,62,94,90,81,70,22,21,31.5,0.8,17,2.8,6.4,9.2,1.6,1.7,1.9,2.4,2.1,7,10,0.695,7,10,0.695,0,0,0,3.1,5,0.613,0.828,19.4,3.2,7.3,10.5,1.8,1.9,2.2,2.7,2.4,8,11.4,0,5.7,https://www.sports-reference.com/cbb/players/nfaly-dante-1.html,70,0.666666667
"Crawford, Isaiah",SF,Louisiana Tech,11/1/2001,22.6,"6'6""",,220,,,,,,,,79,80.43,81,53,94,94,90,81,70,32,32,32.9,0.8,16.3,1.9,4.3,6.2,2.4,2.1,1.7,2.5,2.3,5.7,11.7,0.485,4.4,8.6,0.511,1.3,3.1,0.414,3.7,5.1,0.728,0.678,17.8,2.1,4.7,6.8,2.6,2.3,1.9,2.7,2.5,6.2,9.4,3.4,5.6,https://www.sports-reference.com/cbb/players/isaiah-crawford-1.html,54.274,0.96
"Miller, Baba",PF,Florida,2/7/2004,20.33,"6'11""","7'2""",204,,,,,,,,80,82.57,76,118,94,73,66,81,70,33,32,24.8,0.6,7.6,1.2,3.7,4.9,1.4,0.9,1.1,1.5,3.1,2.8,6.2,0.449,2.1,3.7,0.553,0.7,2.5,0.293,1.3,2.4,0.557,0.59,11,1.7,5.4,7.1,2,1.3,1.6,2.2,4.5,4.1,5.4,3.6,3.5,https://www.sports-reference.com/cbb/players/baba-miller-1.html,50.806,0.933333333
"Freeman, Enrique",PF,Akron,7/29/2000,23.85,6' 8.5'',7' 2.00'',212,10,9' 0.00'',30.5,35,10.99,3.04,3.26,81,82.57,61,118,64,94,90,81,70,35,35,32.5,0.8,18.6,3.6,9.4,12.9,1.6,0.8,1.7,2.5,2.8,6.7,11.4,0.584,6.1,9.9,0.617,0.6,1.5,0.37,4.7,6.5,0.728,0.793,20.6,4,10.4,14.3,1.8,0.9,1.9,2.8,3.1,7.4,11,1.7,7.2,https://www.sports-reference.com/cbb/players/enrique-freeman-1.html,61.404,0.64
"Evans, Kwame",PF,Oregon,8/2/2004,19.84,"6'9""","7'0""",200,,,,,,,,82,83,118,34,94,94,90,81,70,36,29,22.5,0.6,7.3,1.4,3.5,4.9,1.1,1.2,1,0.8,2.5,2.5,5.6,0.446,1.9,3.5,0.551,0.6,2.1,0.267,1.7,2.2,0.795,0.613,11.7,2.2,5.6,7.8,1.8,1.9,1.6,1.3,4,4,5.6,3.4,3.5,https://www.sports-reference.com/cbb/players/kwame-evans-jr-2.html,50,1.375
"Lewis, Malique",PF,Mexico,11/10/2004,19.57,"6'8""",,205,,,,,,,,83,83,92,60,94,94,90,81,70,50,24,25.2,0.6,8.3,1.2,4.7,5.8,1.3,0.8,1,1.2,2,3.2,6.5,0.488,2.1,3.5,0.613,1,3,0.344,0.6,0.9,0.674,0.614,11.9,1.7,6.7,8.3,1.8,1.2,1.4,1.7,2.9,4.5,4.9,4.3,1.2,https://basketball.realgm.com/player/Malique-Lewis/Summary/189653,56.79,1.05
"Lee, Xaivian",PG,Princeton,3/12/2004,20.23,"6'3""",,171,,,,,,,,84,83.57,118,63,94,94,90,56,70,29,29,31.2,0.8,17.1,0.7,5.1,5.7,3.7,1,0.5,1.4,2.1,5.9,13,0.451,4.1,7.7,0.529,1.8,5.3,0.338,3.6,4.4,0.798,0.64,19.7,0.8,5.9,6.6,4.3,1.2,0.6,1.6,2.4,6.8,8.9,6.1,5.1,https://www.sports-reference.com/cbb/players/xaivian-lee-1.html,52.308,2.642857143
"Toppin, JT",PF,New Mexico,6/14/2005,18.98,"6'8.25""","7'0.5""",221,"9.25""","8'10""",28.5,34,11.12,3.01,3.27,85,83.57,84,118,48,94,90,81,70,36,35,26.6,0.7,12.4,3.7,5.4,9.1,0.6,1.1,1.9,0.9,2.6,5.4,8.6,0.623,5.1,7.7,0.655,0.3,0.9,0.344,1.3,2.4,0.565,0.701,16.8,5,7.3,12.3,0.8,1.5,2.6,1.2,3.5,7.3,10.4,1.2,3.2,https://www.sports-reference.com/cbb/players/jt-toppin-1.html,64.535,0.666666667
"Pullin, Zyon",PG,Florida,3/3/2001,23.26,"6'4""","6'6""",210,,,,,,,,86,83.86,118,74,94,94,56,81,70,33,27,33.5,0.8,15.5,0.7,3.2,3.9,4.9,0.9,0.1,1.3,2,4.8,10.8,0.444,3.7,8.4,0.442,1.1,2.4,0.449,4.9,5.8,0.847,0.694,16.7,0.8,3.4,4.2,5.3,1,0.1,1.4,2.1,5.2,9,2.6,6.2,https://www.sports-reference.com/cbb/players/zyon-pullin-1.html,49.537,3.769230769
"Traore, Armel",PF,France,1/23/2003,21.37,"6'9""",,210,,,,,,,,87,83.86,72,86,94,94,90,81,70,33,,25.5,0.6,10.8,2.4,5,7.3,1.5,0.6,0.3,1.7,2.3,4.2,7.7,0.541,3.7,5.9,0.629,0.5,1.8,0.262,1.9,3,0.646,0.676,15.2,3.4,7.1,10.3,2.1,0.8,0.4,2.4,3.2,5.9,8.3,2.5,4.2,https://www.basketball-reference.com/international/players/armel-traore-1.html,57.792,0.882352941
"Kalkbrenner, Ryan",C,Creighton,1/17/2002,22.39,"7'2""",,252,,,,,,,,88,84.43,118,70,94,68,90,81,70,35,35,34.7,0.9,17.3,2.5,5.1,7.6,1.3,0.4,3.1,1.5,1.9,6.9,10.7,0.646,6.4,9.1,0.705,0.5,1.5,0.296,3,4.3,0.711,0.785,17.9,2.6,5.3,7.9,1.3,0.4,3.2,1.6,2,7.2,9.4,1.6,4.5,https://www.sports-reference.com/cbb/players/ryan-kalkbrenner-1.html,66.822,0.866666667
"Murrell, Matthew",SG,Ole Miss,12/19/2001,22.46,"6'3""",,201,,,,,,,,89,85.29,77,91,94,94,90,81,70,32,32,32.9,0.8,16.2,0.6,3.1,3.6,2.4,1.6,0.3,1.7,2,5.6,12,0.464,3.1,5.9,0.532,2.4,6.1,0.398,2.7,3.6,0.739,0.657,17.7,0.7,3.4,3.9,2.6,1.8,0.3,1.9,2.2,6.1,6.5,6.7,3.9,https://www.sports-reference.com/cbb/players/matthew-murrell-1.html,56.667,1.411764706
"Watson, Anton",PF,Gonzaga,10/6/2000,23.67,"6'8""",,241,,,,,,,,90,87.71,85,100,94,94,90,81,70,35,35,31.3,0.8,14.5,2.2,4.9,7.1,2.6,1.5,0.7,1.4,2.3,5.8,10,0.578,5.2,8.6,0.607,0.6,1.5,0.412,2.3,3.5,0.653,0.705,16.7,2.5,5.6,8.2,3,1.7,0.8,1.6,2.6,6.7,9.9,1.7,4,https://www.sports-reference.com/cbb/players/anton-watson-1.html,61,1.857142857
"Onyenso, Ugonna",C,Kentucky,9/25/2004,19.7,"6'11""",,220,,,,,,,,91,87.86,68,118,94,94,90,81,70,24,14,18.8,0.5,3.6,1.8,3,4.8,0.2,0.3,2.8,0.7,1.4,1.4,2.5,0.55,1.4,2.5,0.559,0,0,0,0.8,1.4,0.588,0.652,6.9,3.4,5.7,9.2,0.4,0.6,5.4,1.3,2.7,2.7,4.8,0,2.7,https://www.sports-reference.com/cbb/players/ugonna-onyenso-1.html,56,0.285714286
"Kraag, Yannick",SF,Spain,10/16/2002,21.64,"6'8""",,190,,,,,,,,92,88,95,92,94,94,90,81,70,32,,15.8,0.4,4.6,1.1,2.2,3.2,0.4,0.6,0.2,0.5,1.7,1.7,3.7,0.466,1.2,2.1,0.559,0.5,1.6,0.34,0.7,1.1,0.6,0.58,10.5,2.5,5,7.3,0.9,1.4,0.5,1.1,3.9,3.9,4.8,3.6,2.5,https://www.basketball-reference.com/international/players/yannick-kraag-1.html,52.703,0.8
"Hinson, Blake",SF,Pittsburgh,12/26/1999,24.44,"6'7""",,230,,,,,,,,93,88.57,118,73,94,94,90,81,70,33,33,33.6,0.8,18.5,0.9,3.5,4.4,0.8,0.5,0.2,1.3,2.2,6.1,13.4,0.454,2.8,5.5,0.5,3.3,7.9,0.421,2.9,4.4,0.669,0.675,19.8,1,3.8,4.7,0.9,0.5,0.2,1.4,2.4,6.5,5.9,8.5,4.7,https://www.sports-reference.com/cbb/players/blake-hinson-1.html,57.836,0.615384615
"Clayton Jr, Walter",PG,Florida,3/6/2003,21.25,"6'2""",,195,,,,,,,,94,88.57,97,94,94,94,90,81,70,36,36,30.9,0.8,17.6,0.5,3.1,3.6,2.6,1.1,0.6,2.2,2.4,5.6,13,0.432,3,5.9,0.512,2.6,7.1,0.365,3.8,4.3,0.877,0.657,20.5,0.6,3.6,4.2,3,1.3,0.7,2.6,2.8,6.5,6.9,8.3,5,https://www.sports-reference.com/cbb/players/walter-claytonjr-1.html,53.077,1.181818182
"Perrin, Zacharie",PF,France,8/30/2004,19.77,"6'10""",,220,,,,,,,,95,88.57,73,118,94,94,90,81,70,30,,24.2,0.6,9.7,1.6,4.9,6.5,1.1,0.7,0.4,1.2,1.8,3.7,6.9,0.538,3.1,5,0.616,0.6,1.9,0.333,1.6,2.6,0.628,0.673,14.4,2.4,7.3,9.7,1.6,1,0.6,1.8,2.7,5.5,7.5,2.8,3.9,https://basketball.eurobasket.com/player/Zacharie-Perrin/585329,58.391,0.916666667
"Love, Caleb",SG,Arizona,9/27/2001,22.69,"6'4""",,195,,,,,,,,96,88.86,118,95,94,74,90,81,70,36,36,32.3,0.8,18,0.7,4.1,4.8,3.4,1.2,0.3,2.1,1.1,6.1,14.7,0.413,3.5,7,0.502,2.6,7.7,0.332,3.3,4,0.839,0.597,20.1,0.8,4.6,5.3,3.8,1.3,0.3,2.3,1.2,6.8,7.8,8.6,4.5,https://www.sports-reference.com/cbb/players/caleb-love-1.html,50.34,1.619047619
"Nelson, Grant",PF,Alabama,3/18/2002,22.22,"6'11""",,223,,,,,,,,97,88.86,118,75,94,94,90,81,70,37,37,25.6,0.6,11.9,1.6,4.3,5.9,1.5,0.6,1.6,1.4,3.1,3.9,8,0.488,3.1,5,0.616,0.8,3,0.273,3.3,4.1,0.813,0.712,16.7,2.3,6,8.3,2.1,0.8,2.3,2,4.4,5.5,7,4.2,5.8,https://www.sports-reference.com/cbb/players/grant-nelson-1.html,53.75,1.071428571
"Ajayi, Michael",SF,Pepperdine,6/23/2003,20.95,"6'7""","7'0.75""",228,"9.75""",8'10.5,27,34.5,11.77,3.17,3.21,98,88.86,75,118,94,94,90,81,70,36,36,32.3,0.8,18,0.7,4.1,4.8,3.4,1.2,0.3,2.1,1.1,6.1,14.7,0.413,3.5,7,0.502,2.6,7.7,0.332,3.3,4,0.839,0.597,20.1,0.8,4.6,5.3,3.8,1.3,0.3,2.3,1.2,6.8,7.8,8.6,4.5,https://www.sports-reference.com/cbb/players/caleb-love-1.html,50.34,1.619047619
"Johnson, Kobe",SG,USC,1/15/2003,21.39,"6'6""",,175,,,,,,,,99,89,118,76,94,94,90,81,70,31,28,31,0.8,10.9,0.5,4.1,4.6,3.3,2.2,0.8,2.1,2.2,4.1,10.1,0.404,2.8,5.9,0.467,1.3,4.1,0.313,1.5,2,0.726,0.523,12.7,0.6,4.8,5.3,3.8,2.6,0.9,2.4,2.6,4.8,6.9,4.8,2.3,https://www.sports-reference.com/cbb/players/kobe-johnson-1.html,47.03,1.571428571
